"filename", "language", "TypeScript", "HTML", "SCSS", "comment", "blank", "total"
"/Users/mykhailokosinov/development/projects/edustat-app/src/app/components/toolbar/toolbar.component.html", "HTML", 0, 14, 0, 0, 2, 16
"/Users/mykhailokosinov/development/projects/edustat-app/src/app/components/toolbar/toolbar.component.scss", "SCSS", 0, 0, 12, 0, 1, 13
"/Users/mykhailokosinov/development/projects/edustat-app/src/app/components/toolbar/toolbar.component.ts", "TypeScript", 13, 0, 0, 0, 3, 16
"/Users/mykhailokosinov/development/projects/edustat-app/src/app/helpers/GradeCalculation.ts", "TypeScript", 121, 0, 0, 7, 10, 138
"/Users/mykhailokosinov/development/projects/edustat-app/src/app/helpers/criterias/statisticCriterias.ts", "TypeScript", 3, 0, 0, 0, 1, 4
"/Users/mykhailokosinov/development/projects/edustat-app/src/app/helpers/studentDataFormatter.ts", "TypeScript", 35, 0, 0, 0, 7, 42
"/Users/mykhailokosinov/development/projects/edustat-app/src/app/interfaces/AverageScore.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"/Users/mykhailokosinov/development/projects/edustat-app/src/app/interfaces/IStatisticCriteria.interface.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"/Users/mykhailokosinov/development/projects/edustat-app/src/app/interfaces/groups/IGroupAveragePerSemester.interface.ts", "TypeScript", 5, 0, 0, 0, 1, 6
"/Users/mykhailokosinov/development/projects/edustat-app/src/app/interfaces/groups/IGroupSummary.interface.ts", "TypeScript", 5, 0, 0, 0, 1, 6
"/Users/mykhailokosinov/development/projects/edustat-app/src/app/interfaces/groups/IGroupWithGrades.interface.ts", "TypeScript", 11, 0, 0, 0, 2, 13
"/Users/mykhailokosinov/development/projects/edustat-app/src/app/interfaces/marks/IGradesDistribution.interface.ts", "TypeScript", 8, 0, 0, 0, 1, 9
"/Users/mykhailokosinov/development/projects/edustat-app/src/app/interfaces/marks/IMarks.interface.ts", "TypeScript", 8, 0, 0, 0, 1, 9
"/Users/mykhailokosinov/development/projects/edustat-app/src/app/interfaces/students/IStudent.interface.ts", "TypeScript", 11, 0, 0, 0, 1, 12
"/Users/mykhailokosinov/development/projects/edustat-app/src/app/interfaces/students/IStudentCard.interface.ts", "TypeScript", 7, 0, 0, 0, 2, 9
"/Users/mykhailokosinov/development/projects/edustat-app/src/app/services/menu/menu.service.spec.ts", "TypeScript", 12, 0, 0, 0, 5, 17
"/Users/mykhailokosinov/development/projects/edustat-app/src/app/services/menu/menu.service.ts", "TypeScript", 12, 0, 0, 0, 3, 15
"/Users/mykhailokosinov/development/projects/edustat-app/src/app/services/readExcel/excel-data.service.ts", "TypeScript", 116, 0, 0, 14, 12, 142
"/Users/mykhailokosinov/development/projects/edustat-app/src/index.html", "HTML", 0, 22, 0, 0, 1, 23
"/Users/mykhailokosinov/development/projects/edustat-app/src/main.ts", "TypeScript", 4, 0, 0, 0, 4, 8
"/Users/mykhailokosinov/development/projects/edustat-app/src/styles.scss", "SCSS", 0, 0, 22, 0, 1, 23
"Total", "-", 851, 279, 149, 108, 197, 1584
